,serial_number,heading,reviews,country,date,verified
2831,2831,british airways customer review,ba staff excellent start finish service onboard friendly professional helpful wife left handbag board plane arrived heathrow ba flight attendant personally travelled terminal 3 terminal 5 hand deliver back know huge distance terminal 3 5 heathrow youll know much effort flight attendant put returning handbag exceptional level customer service almost unheard days ba get 100 customer care rating wife snacks good given bit 3 hours flying time aircraft clean however negative business class seats fact tiny cramped seats thing ba really change sort killed otherwise perfect journey standard economy class seats cramped tight knees pressing seat front convert business class seats put fancy clipin style armrest make row configuration 2 seats instead 3,Australia,2015-07-10,unverified
2832,2832,british airways customer review,overall good flight attendants friendly helpful seat fairly comfortable plenty storage space sides food entertainment fine husbands screen would work first flight attendant fixed minutes cabin clean one seats broken piece plastic cup holder could pinched cut someone happy flights,United States,2015-07-09,unverified
2833,2833,british airways customer review,tired plane back london ground cabin staff friendly pleasant helpful first series flights flew plane way lhr ist see recent reviews moved row 1 space still substandard put economy seats business class lounge crammed noisy preflight joined star alliance gold member least got see miles smiles lounge ba look around dont rest last centurys efforts ive flown ba first wouldnt responding skytrax reviews may help increase profits must say apart cheery crew ba 677 polite totally disinterested service exists old cramped cabins memory business trip,Australia,2015-07-09,unverified
2834,2834,british airways customer review,say mediocre flown route airlines business class believe spoilt british airways product old adequate tv screen small poor quality food okay nothing seating poor one highlight quality service crew nothing actually complain nothing make want use product,Thailand,2015-07-09,unverified
2835,2835,british airways customer review,flying dublin london every 2 weeks average since beginning year regularly used british airways beginning however found new policy asking £15 seat selection even checkin really annoying unnecessary insulting loyal customers fair enough want charge prebooking seats least allow selection checkin time line direct competitors route aer lingus also found service food drinks etc extremely poor fare charged even short sector continue moneygrabbing policy definitely happily give business aer lingus cityjet operate route seem treat customers infinite cash cows,Ireland,2015-07-08,unverified
2836,2836,british airways customer review,uncomfortable serviceless low class low expectations werent met club world gone leading lagging cramped pods 8 seats across others 6 tired old plane usually fly aisle seat know better ba window seat passenger next repeatedly woken food handed spilt service polite cabin crew disappeared one bottle water flight food tasteless overcooked presentation fast food condiments reminded fast food chain price worst product skies seat broken ife clunky used cx qf sia finnair air tahiti nui aa lan chile hesitate call business class isnt,Australia,2015-07-07,unverified
2837,2837,british airways customer review,expected club world got club europe economy decent airline food okay plied alcohol wanted must oldest aircraft fleet ife 24 screen cabin told ground crew qualifying international cabin bag needed checked happy international domestic roll aboard turboprop colleague officious uncalled exactly cabin bags rolled aboard 4 days later return flight seats economy class cramped little recline less pitch economy many airlines pay club europe business class dont get,Australia,2015-07-07,unverified
2838,2838,british airways customer review,managed switch upstairs 744 happy quiet space seat 64a footstool broken night uncomfortable left singapore around midnight got lhr 0441hrs sleep intermittent tried adjust seat compensate food singapore okay still lacking one pleasant attendant one grumpy fast track landing got early queue coach tours im stuck british airways trip wont booking choice,Australia,2015-07-07,unverified
2839,2839,british airways customer review,adult meals ran sausage potato left childrens meals available return flight delayed 7 hours plane safe condition scheduled flight 8pm departed 330am fly one orlando way cardiff bad joke childrens meals available,United Kingdom,2015-07-06,unverified
2840,2840,british airways customer review,good business class flight issue experienced slow bag delivery upon arrival jfk food exceptional service provided good seats full flat ipad provided inflight entertainment several films tv shows etc good flight albeit little expensive,United Kingdom,2015-07-06,unverified
2841,2841,british airways customer review,british airways review seating facilities use airline seats cramped passenger front decided recline seat matter much asked recline back would food arrived move seat add insult injury food tasted vile ended eating bread roll use ba last option,United Kingdom,2015-07-05,unverified
2842,2842,british airways customer review,flew back 30 june lgwmco flight delayed gatwick 8 hours got told 1355 flight supposed leave technical fault bringing new aircraft cardiff told report back 1515 told still report back later given £10 voucher told would take 1715 come 1715 got told needed try get crew depart 9pm tenth wedding anniversary one member staff said anything spoke back duty office day told would arrange glass champagne inflight boarded aircraft old 777 champagne duty free kids packs ife rebooted,United Kingdom,2015-07-05,unverified
2843,2843,british airways customer review,pleased see british airways uses proper gates terminal 3 heathrow compared previous bus boarding scrum boarding organised crew friendly onboard service good served tasty ham cheese croissant drinks flight departed arrived time bags arrived quickly seat wasnt comfortable good,United Kingdom,2015-07-04,unverified
2844,2844,british airways customer review,first time british airways disappointed amount seatleg room compared airlines ive traveled also surprised longer european flights london istanbul example traveled tv flight long longer flights asia countrytocountry tventertainment system universal entertainment system broken sound wasnt working service button call attendant broken stewardess particular flight jfk lhr ba1511 june 19 2015 rude daughter daughter unable eat dairy food options plane included dairy daughter asked nicely nondairy options stewardess takes food daughter ’ tray says “ guess ’ going eat salad ” ’ said bothered way said ’ offer pretzels nondairy snacks anything first experience british airways disappointed ’ flight back home felt bit better ride back british airways flight specific lhr las encountered steward pleasant polite professional,United States,2015-07-04,unverified
2845,2845,british airways customer review,frequent flyer various airlines british airways far worst experienced substandard customer service even flight original plan fly toronto rome via london july 2nd three tickets purchased confirmed march two weeks departure email sent altering flight london rome called waited service hotline able get one flight parents another rep refused try put together parents less 48 hours departure rescheduled flight rerouted naples agent told extra travel expenses would day departure got flight gatwick rome rushing heathrow told initially flight rerouted naples departure reverted back direct flight rome confusing communication arrived rome discover parents flight delayed four hours ba flights arriving terminal service desk closed flight even arrived ba reps anywhere seek assistance,Canada,2015-07-04,unverified
2846,2846,british airways customer review,family flew rotterdam london 26th june first time traveling ba chose thought airlines would better budget airlines constant delays wrong arrived airport time sat wait ba announced flight delays due technical error 15 hours finally announcing flight cancelled given explanation except one phrase technical fault unceremoniously sent back queue line rescheduled waited another 45 mins transferred 720pm flight original 105pm denied chances board earlier one 4pm complain gave ba trouble followed procedures applied compensation online reply simply sorry denied responsibilities,Singapore,2015-07-03,unverified
2847,2847,british airways customer review,returning chicago berlin overall flight experience better outward sectors week earlier opted skip dinner instead breakfast since flight landed around 1000 breakfast hard slab cake one drink total disgrace cabin warm saw passengers using blankets berlin flight exlhr delayed initially due usual late incoming aircraft excuse broken apu air pumped cabin engines could started reason took half hour locate one actually work meanwhile one hottest days year waited board increasingly saunalike conditions captain kept us informed made bit time although still landed 35 minutes late,Thailand,2015-07-03,unverified
2848,2848,british airways customer review,experience chimes general consensus club world service lhrjfk cabin seats fittings showing age look rather shabby point clean red wine spills foot rest boarded tiny screen ife looked dated great entertainment selection food quality good service cabin crew rather indifferent little attempt make special dining experience nuts chocolates served packets bowls attentive providing drinks refills water wasnt offered items listed menu fruit cheese platter go ask coffeetea refills meal brewed coffee fresh lattescappuccinos offered disgestifs meal cabin crew disappeared meal self service snacks galley economy quality apart nice rose champagne luxury experience felt like economy space food,Hong Kong,2015-07-02,unverified
2849,2849,british airways customer review,occasion partner experienced 35 hour delay ba communication airport nothing got onto plane captain told us delays due bag checked correctly heathrow delay plane finally arrived water board permitted fill destination meant disgusting toilets flush warm drinks board sat runway hour engines would start aircon 40 mins finally got back heathrow captain told us sorry issues,United Kingdom,2015-07-01,unverified
2850,2850,british airways customer review,boarding well organised efficient seated world traveller upper deck 2x4x2 deck preferable 3x4x3 lower deck flight attendants welcome customers board service friendly professional seat fairly comfortable legroom standard economy ife excellent huge range entertainment options disappointment lunch chicken casserole basically pieces chicken swimming oil vegetables poor afternoon tea hand nice,United Kingdom,2015-07-01,unverified
2851,2851,british airways customer review,yul fco bcn yul ptv e long haul planes entertainment job activated boarded aircraft food ok except return flight london montreal chicken dry flight delays outbound journey 3 hour delay return flight aircraft changed due mechanical problem,Canada,2015-06-30,unverified
2852,2852,british airways customer review,night flight delayed nearly hour fault airline contributory factor disappointment ba flight 17th june 2015 paid extra premium economy tickets extra reserve seats past experience ba equivalent seatsservice virgin atlantic led us expect value money small rewards extra costs flight however real benefit appeared small amount extra legroom last board first business economy customers premium economy used greeted choice glass fizz orange juice water juice taken drinks served fine steward came collect empty glassbottle knocked glass onto floor broke staff rushed seemed short numbers perhaps made feel breakage fault dinner arrive 11pm time rather lost interest partner far extra costs bought us extra leg room one glass wine offered second possibly crime causing steward break glass overnight contrast night flights lights never fully dimmed offers waterorange juice prevent dehydration promised menu card morning light snack coffeeteafruit juice hastily delivered piece driedup cake weak coffee mention fruit juice couldnt really see extra costs getting economy less extra leg room rather negated passenger fronts fully reclined seat possible travelling ba left rather sour taste end holiday,United Kingdom,2015-06-29,unverified
2853,2853,british airways customer review,check tegel disaster ludicrously lot ba flights told ba staff airport sort problems 100 minutes prior departure 2 check desks open 1 business 1 economy ba silver card holder joined business queue first one lady considerably much baggage arguments went 10 minutes paid extra fees technical crew pop event previous day checked 20 items overweight others way large 20 minutes asked young lady business passengers could processed economy desk possible told eventually another economy desk opened yet queue remained immobile 15 minutes finally 40 minutes someone decided could processed economy desk looking forward drink lounge discover lounge airside lhrord flight spoiled business class intercontinental travel since business class introduced board international carrier discover seat pitch 31 major shock like travelling long haul budget carrier considerably greater cost worst part cabin kept extremely warm temperature throughout despite requests captain reduce reasonable level meal ok ife decent selection movies overall flight hugely uncomfortable carriers still offering seat pitch greater 31 ba lost future business,Thailand,2015-06-28,unverified
2854,2854,british airways customer review,flight vienna ba hoping slight improvement way back however service boring drink service rushed stewardess pouring entire miniature vodka drink putting drop tomato juice asked tomato vodka unpalatable glad plane fairness hoping one day ba wow,United Kingdom,2015-06-28,unverified
2855,2855,british airways customer review,slightly disappointing flight aircraft showing age seems little effort put cabin decor meaning looks quite tawdry fairness food okay ham cheese croissant nothing write home seats werent great someone height left feeling underwhelmed budget level offerings high price,United Kingdom,2015-06-28,unverified
2856,2856,british airways customer review,lhrfco return outbound a321 new club europe seating return boeing 767 ive flown club europe years wasnt looking forward flight due new seat pitch economy fortunate journeys secure seat row 1 extra legroom seat extra leg room emergency exit row food drink selection good service crew excellent return leg,United Kingdom,2015-06-27,unverified
2857,2857,british airways customer review,appears ba continues adopt “ little possible ” route presumably due monopoly aircraft cabin looking tiredold decidedly mediocre compared recent business class flights emirates etihad qatar airways outward excellent service cabin flight deck crew seat 2k shockingly filthy cleared since last passenger noticed much ingrained filth eg food drink splatters cabin wall crumbs seat foldsgaps stained cover sorts debris floor gapscracks remarkably grimy carpet cabin attendant offered choice empty seats inspection similarly grim state seat ok comfort mediocre ife choice poor quality screen meal service good food drink although dirty environment offputting lacto veg ’ meal much improved since last tried pantry service underwhelming places eg mars bars kitkats tragically promoted retro nice ice cream return 1k excellent service cabin flight deck crew im ridiculously grateful cabin clean tired skipped dinner decided watch short tv programme found much better picture quality screen compared outward although even less programme choice found seat comfort mediocre bed mode got five hours sleep cabin layout clearly designed maximise passenger numbers without much thought comfort awake breakfast attendants offering bacon rolls asked wife requested lacto veg meals staff returned ashen faced profusely apologising two neatly wrapped labelled plain white bread rolls bad service lack joinedup thinking ’ make postflight found ba customer complaints dept dreadful left far disappointed service end flights,United Kingdom,2015-06-26,unverified
2858,2858,british airways customer review,flight home good flight long delay depart part missing passenger checked disappeared one mysteries airline travel happens time time meanwhile full plane passengers delayed total 90 mins a320 newly refurbished clean called new club europe seats installed row 1 okay menu identical outbound beef main course terrific sort meal would happily paid £20 quality bistro fas great chinese fa sort understand customer service colleague closer retirement seemed another planet time half way point wanted another gin tonic run ice proper glasses arrival lhr parked miles away terminal reasons given good experience,United Kingdom,2015-06-26,unverified
2859,2859,british airways customer review,boarded technical fault air conditioning cabin got hot cabin crew offer cold water keep passengers cool delay around 20 minutes airborne drinks snacks served seating a319 comfortable short flight gla airport parking stands far away main terminal pick points changes airport past couple years increased walking distance annoying hand luggage want quick getaway especially late night arrival one sees easyjet ryanair passengers passing arrivals process much quicker,United Kingdom,2015-06-26,unverified
2860,2860,british airways customer review,disappointed food poor wifes steak could anything curry tiny piece chicken cabin less half full cabin crew hadnt time bring glass wine meal staff disappeared dinner drink offered refreshments night price could lot better return old b747 better,United Kingdom,2015-06-25,unverified
2861,2861,british airways customer review,3rd flight ba 8 months worst yet customer service communication appalling originally return flight rome london gatwick flight cancelled due issues rome airport instead ba getting contact regards third party company booked flights checking tried charge baggage although already paid spoke phone tried fob numbers even though called customer service number shame actual flight flight service good surprising result rudeness lack communication appalling customer service im unlikely ever use,United Kingdom,2015-06-22,unverified
2862,2862,british airways customer review,british airways never fails surprise find business lounge geneva quite reasonable last occasion impressed manner lounge manager handled cranky passenger accusing destroying favourite newspapers onboard discovered business class bas european routes seatpitch almost prevents gaining entry window seats used flying qantas domestic economy australia think forward seat economy middle seat kept empty thats hand service food excellent flight crew commentary superb ba excellent inflight magazine,Australia,2015-06-21,unverified
2863,2863,british airways customer review,flight delayed 2 hours given reasonable notice rearrange connecting flight ended lot time heathrow would liked checkin fine cabin staff attentive food average issue space 747 fuselage tapers back theres enough room 343 seating rows 51 242 configuration rows 4950 dont enough room 343 seating either ba anyway sneakily making outer seats narrower rest endured 9 hour night flight one horrible seats back twisted sore weeks acceptable longhaul flight especially night ba charges extra seats identified room principle seats advertised less room cashback offered anyone prepared accept small children perhaps,Australia,2015-06-20,unverified
2864,2864,british airways customer review,short hop empty terminal 1 lhr lux nice able use lounge lhr aggravating wait security despite virtually line excellent service board plane lux passport control car 10 minutes impressed cheerful nature cabin staff,Luxembourg,2015-06-19,unverified
2865,2865,british airways customer review,lhrncllhr rather disappointed learn early morning sunday flight cancelled without reason afternoon morning fly whole point trip could easily go back return day attend sisters wedding saving time also money due trains expensive managed rearrange flight previous night annoyed arrange last minute accommodation thought would straightforward far rebooking via ba app didnt tell flight rearranged fly severely delayed heart sank received textapp notification telling think sneaky mention rebooking spent couple hours getting know terminal 5 general feedback friends flights particular domestic route often subject delays cancellation full service airline simply unacceptable anything everything else cutback reliability becomes golden plane immaculately maintained clean liked simple elegant cabin ba staff also let things bit often quite brusque unfriendly desk staff come across rather insincere issues cabin crew fine lack warmth airlines sadly arent options route probably switching back rail despite sometimes competitive fares,United Kingdom,2015-06-18,unverified
2866,2866,british airways customer review,lhr santorini lounge busy often flight left 45 minutes late blamed congestion guess stuck excuse next 10 years build 3rd runway plane clean club europe new seat design row 1 glad rows 23 etc looked cramped difference economy table tray centre instead seat lunch good indeed thai chicken wife cheeks beef said excellent fas friendly smooth flight way sort worth extra money guess privacy one wc front end plane could however much better wider seats away silly central table,United Kingdom,2015-06-18,unverified
2867,2867,british airways customer review,fantastic word go check great concorde lounge great along spa elemis treatment lovely good service attention detail crew onboard delightful food nice real pleasure,United Kingdom,2015-06-17,unverified
2868,2868,british airways customer review,flying many many times honestly say worst plane ever flown aircraft old falling apart flight handle toilet flew one overhead bins loose table holding bassinette broken carpet threadbear equipment held together tape enough food nothing available nut allergy food served fit human consumption toilets cleaned whole flight 13 hours result smell disgusting rubbish bin overflowing waste included soiled nappies time saw cabin crew serving food looked scruffy would expect ba cabin crew unpleasant flight travel asia every year ensure never fly ba route,United Kingdom,2015-06-17,unverified
2869,2869,british airways customer review,good flight club world start finish ok plane may rather old immaculate condition cabin crew older mostly british delivered efficient professional friendly service lie flat bed took rear facing window seat excellent sleeping gives great privacy food offering amazing cost cutting surprised see nuts served bags dishes however good selection drinks glasses topped required inflight entertainment excellent great range movies tv shows fly often middle eastern carriers offer newer planes luxury feel however ba scored highly crew seat comfort ease sleeping also visited heathrow t3 arrivals lounge first class definitely fly ba club world price competitive,United Arab Emirates,2015-06-17,unverified
2870,2870,british airways customer review,overall good experience ba owns vuelingiberian airlines booked paris rome try book airline say leg room service never two weeks europe really looking forward going home family finally got ba counter rome airport told flight london delayed would able make connection london would spend night fly morning another ba desk told hotel within walking distance well im 70 would say like walking distance youre camel room hotel finebut went restaurant meal ticket given menu three items told could water free charged drink paid extra book aisle seat months advance book ba done one day advance flight middle seat 12 hours flight home la,United States,2015-06-17,unverified
2871,2871,british airways customer review,lhr bkk june 13th 2015 club world business aircraft starting show age seats reasonably comfortable long dont mind unusual seating configuration passengers travel facing backwards cabin service food quality good one best breakfasts air delicious fruit muesli followed full english hot tasty overnight flight sleep difficult mainly due narrowness seats ba provide mattress topper many airlines offer enhance sleep comfort fair value money proposition,Australia,2015-06-17,unverified
2872,2872,british airways customer review,ba0567 15615 delay understand accept crew helpful went way travelling companion due make tight connection travel home means unfortunate travelling companions bag didnt make outward journey particularly break 5 days long prebooked travelling plans day arrival,United Kingdom,2015-06-17,unverified
2873,2873,british airways customer review,flew seoul london business class surprised much better food first interesting enjoyable attractively presented ba would abandon bizarre seat configuration business would good service ok bit inattentive embarrassing attendants slide screen every time need anything find face inches away stranger fortunately know seats pick avoid climbing neighbour reach aisle,United Kingdom,2015-06-16,unverified
2874,2874,british airways customer review,flew 8th june 2015 say staff flight service excellent little issue flights people booked made error tickets ba sorted time definitely flying recommend service plane excellent,United Kingdom,2015-06-14,unverified
2875,2875,british airways customer review,fly airline almost every weekend abu dhabi muscat throughout think far 7 trips never delays even would maximum 30 minutes still able arrive muscat time staff professional yet friendly enough chat would excellent flight muscat abu dhabi earlier time ones available one arrives midnight downside airline highlife shopping available abu dhabi muscat due short duration even booked paid items online hoping onboard delivery,United Arab Emirates,2015-06-14,unverified
2876,2876,british airways customer review,ended 25yearold 747 secondoldest bas fleet boy show cabin seriously dated need good renovation guess aircraft retiring day soon outbound flight nicely retrofitted 777 comfortable spacious chairs excellent clear larger ife screen screens 747 tiny poor resolution comparison nevertheless service usual good ba standard courteous efficient decent enough food better past years revolting soggy pasta seemed norm despite ancient notuptostandard aircraft flight pleasant enough,Canada,2015-06-14,unverified
2877,2877,british airways customer review,boarded quickly suffered weather delay hour localised thunderstorms throughout time cockpit crew kept passengers updated 30 mins waterjuice offered advised would soon cleared depart cabin clean crew friendly polite apologies delay breakfast snack ok short flight view ba general short haul well really need improve long haul product,United Kingdom,2015-06-13,unverified
2878,2878,british airways customer review,terrible flight time well 2 hours seating like ryanair talking ba club europe genius decided 30 inch sufficient premium passengers idea legs impossible use laptop business class uncomfortable flight especially money paid ba rethink,United Kingdom,2015-06-12,unverified
2879,2879,british airways customer review,28th may 2015 lhrden b747 seat 29a paid £55 extra legroom seat good though width narrow lady seat next kept fidgeting arm kept twitching mine whole flight annoying flight time cabin crew friendly food also pretty good economy 747 really showing age though cabin clean tidy good condition old style noisy entertainment system also quite long tooth small blurry screen pretty good flight though,United Kingdom,2015-06-12,unverified
2880,2880,british airways customer review,9615 ordlhr 777300 club world seat 13b booked world traveler plus upgraded pretty close departure meant time get meal hand meal board small good would better economy mean think breakfast pretty poor well several items given crew excellent attentive seat full lie flat though pretty narrow thought compared carriers business class entertainment system also good date,United Kingdom,2015-06-12,unverified
2881,2881,british airways customer review,10615 lhrgla a321 seat 9a able choose seat advance plenty legroom seat front flight pretty full cabin crew extremely friendly helpful welcoming every passenger individually flight delayed difficulty storing silly amount carry baggage people brought board stuff obviously way bigger allowed size took ages get sorted ridiculous however crew kept smiling though new configuration seating found pretty comfortable drink snack served usual landed nearly 30 mins late discover baggage made grr quite annoying overall good flight though,United Kingdom,2015-06-12,unverified
2882,2882,british airways customer review,28 may 2015 glalhr a321 new seating seat 4a flight time half full ive read complaints new seating however found comfortable roomy drink snack service fine cabin crew friendly,United Kingdom,2015-06-12,unverified
2883,2883,british airways customer review,fralhr a319 sat plane gate almost 40 minutes due one runway closed drinks offered veg meal wife empty bottle middle seat tray landed allegedly almost time due excessive time scheduled leg,United Kingdom,2015-06-12,unverified
2884,2884,british airways customer review,flew club world gatwick barbados april connect cruise back europe arrived norwegian flight stockholm gatwick day able check luggage evening flight avoid delays next day quiet efficient checkin economy section missed club world checkin next day efficient priority security straight lounge crowded found seats eventually ordered champagne delivered promptly difficult get refill staff bit overwhelmed fixed gt boarding b777 efficient shown 2 back facing seats basically double bed glass champagne provided settled take little strange traveling backwards cruise problem several drinks services meal service relaxed professional crew food mackerel pate steak quite good business class heyday privileged enjoy seat strange narrow lot time looking strangers face ba 8 across seating business class operating b777 world entertainment ok reasonable screen hardly world class things going fine 3 hours touchdown said champagne finished save enough returning passengers passengers paid lot money fly club special treat persuaded nice first class ca raid first class provide glass champagne club kitchen joke packets crisps choice red white poor indeed business class ok flight good crew signs penny pinching throughout oh dear ba deteriorated,Sweden,2015-06-12,unverified
2885,2885,british airways customer review,flew kiev london airbus 319 business class leg room good otherwise seats comfortable food served good departed time arrived 10 mins early immigration queue terminal 5 long slow bag waiting got nice flight,Ukraine,2015-06-12,unverified
2886,2886,british airways customer review,general review travelled almost exclusively ba longhaul family past 34 years highly rate ba families travels found ba staff inflight 1 sympathetic towards wife infants offered quiet areas service a380 help settle baby left us last dinner service middle settling kids nothing worse made take tray food want kids sleep 2 friendly attentive maintaining professionalism crew servants passengers fairly strict roster duties attend find happy help less peak times less inclined 300 people feed figures fortunate regularly travel longhaul business reach silver tier annual basis bc checkin great bonus checking family shorter queue etc greatest perk silver get 2 bags 32kg travel family wife eldest child get allowance infant gets 23kg bag plus car seats pram free huge allowance makes packing less stressful ba professional outfit get going issues find value money could care less food like fly time get good connections heathrow t5 great,South Africa,2015-06-11,unverified
2887,2887,british airways customer review,lhr yvr return hard earned avios points trip 3 years since last travelled club world much changed lounge heathrow crowded afternoon tea time sandwiches cakes soup available sandwiches fresh nice plane 747 seen better times seat clean tired looking biggest let screen blurry comparison bling airways screen economy main meal really nice beef fillet tender cooked side salad full flavour mediterranean starter wanted 2nd meal afternoon tea 3 finger sandwiches piece chocolate rocky road real cream tea would better seat comfortable upright sleeping position got plenty rest sleep ways coming back lounge vancouver gate enough seats nice snacks another nice meal board spoilt dry bread roll breakfast big disappointment expecting cooked english breakfast got fruit plastic box followed egg bacon muffin took one bight muffin mad want gag good crews legs bags came priority big plus ba free plus taxes surcharges trip good ba need improve want lead pack instead average,United Kingdom,2015-06-11,unverified
2888,2888,british airways customer review,club world lhrord busy flight ageing 747400 seats comfortable always calm cabin upper deck fault crew seemed training school although pleasant friendly two made quite mistakes orders drinks appeared nervous flight left landed time together good experience,United Kingdom,2015-06-11,unverified
2889,2889,british airways customer review,review refers return trip india bomlhr premium economy seating fine class definitely worth extra standard economy terms leg room however thats ends service compared business travelled woeful ba cabin staff seem treat anybody flying business first secondclass citizens barely job awful food worst ive long haul flight made seriously rethink choice carrier next time fly route,United Kingdom,2015-06-11,unverified
2890,2890,british airways customer review,review concerns lhrbom business class im fan ba business class seating awkward access aisle window seat also practice meals passed retractable divider difficult customer flight attendant said service board great stewardess looking side cabin chatty friendly couldnt enough help seat ok overly comfortable manage hours sleep food great ba though,United Kingdom,2015-06-11,unverified
2891,2891,british airways customer review,family 3 747 upper deck 777 back fortunate silver member get allocate seats booking flights ontime 1 hour delay return reason late inbound aircraft really useless excuse departure knowledge gates would used many flights main lounges security t5 hellishly overcrowded assume remote lounges would empty 747 tired ancient entertainment system quiet upper deck 777 except crowded busy deck although new first class upgrading occurred crew however excellent throughout directions well done particularly return leg considerable number young children making demanding work food directions actually quite decent continual drinks service first half flight ew help galley good value gained big discounts booking holiday package paid full fare would disappointed though doesnt near match main opposition days many seats inconvenient layout wonder ba given going business traveller premium classes long haul routes short haul club see higher spending families revenue source maybe thats got antiques fly,United Kingdom,2015-06-11,unverified
2892,2892,british airways customer review,travelled venice gatwick 28th may check staff rude unhelpful plane seats food trays dirty seats worn uncomfortable lady next arm rest fall flight food daughter inedible attendants lacklustre nappy changing table fell mum whilst toilet attendant suggested sue ba wrote ba complain got fobbing email return wont wasting money business class shocking service standards start finish,United Kingdom,2015-06-07,unverified
2893,2893,british airways customer review,worst customer experience ba flight confirmed flights british airways singapore sydney tomorrow tried check online system allow online checkin called ba contact center uk shocked response received person told difference confirmed booking confirmed seating essentially ba wants sell seats premium arm twist passengers make lame excuses although confirmed flight bookings doesnt mean fly unless get seats allocation travelling family got scattered seats embittered overall experience never fly british airways,Singapore,2015-06-07,unverified
2894,2894,british airways customer review,terrible experience traveling british airways heathrow calgary plane parked nomans area bussed plane horror climb stairs carry bag width seat leg space smallest saw 40 years travel experience shame airline using kind carrier transatlantic flight quality food one worst ever seen picked nonveg chicken item taste content hopeless container marked expiry 281116 0753 expiry 18 months marked hour minute positive thing think torture 9 hours attitude service cabin crew great,Canada,2015-06-07,unverified
2895,2895,british airways customer review,ba362 6th june 2015 first flight taken british airways would impressed check lack professionalism customer come first even first class check staff interrupt discuss business priority completing check flight fact delayed hour despite information provided given ten minutes aircraft appeared dated especially clean crumbs seat grease marks windows inflight shopping made difficult inflight duty free magazines available club class inflight entertainment system work whilst food good changed first offering cold inflight crew pleasant efficient upon arrival baggage reclaim took account priority passengers,United Kingdom,2015-06-07,unverified
2896,2896,british airways customer review,flew heathrow tokyo haneda first concorde lounge heathrow quite good though surprised little choice came food seat new first good service right food board poor time ive flown first years find something edible retreat snack bar business particularly disappointed ba still first choice economy fine business apart bizarre seating configuration,United Kingdom,2015-06-07,unverified
2897,2897,british airways customer review,herlgw return flight confirmed view club europe waste money new route infamous relic 70s ba done nothing improve checkin interminable despite club europe desk fast track option security roped flight lounge offered even though lounges available used airlines surprisingly priority boarding seats 2d 2e decent seats new club europe service board adequate lgw usual nightmare taking 45 minutes crawl boarder control fiasco certainly wouldnt want repeat ba experience,United Kingdom,2015-06-06,unverified
2898,2898,british airways customer review,im disappointed ba flight poor traveling gla glasgowlca larnaca via lhr london first flight tray table fell hinges gives full breakfast though second flight middles seat full dust gum secondly television 767 broken finally 5 half hour flight gave us little chicken vegetable wrap choc pud,Cyprus,2015-06-06,unverified
2899,2899,british airways customer review,ba006 19th may 2015 awful premium economy service bad old cabin faulty inflight entertainment even split wife travelling back japan acceptable,United Kingdom,2015-06-06,unverified
2900,2900,british airways customer review,flew heathrow san francisco may 1st ba disappointment pay £120 sit next husband already paid flight couldnt access entertainment 90 minutes start flight due technical problem later flight went 60 minutes presumably due problem first meal served less straight away ok typical airline fare 7 hour wait next meal laughably called afternoon tea one piece bread cut quarters chicken scone cream butter four hours main meal ran snacks husband went search something eat gave two packs nuts said return journey dont stock picking next passengers luckily husband always carries chocolate bars diabetic heaven knows might happened needed food staff half way two toilets went service queues would fly ba certainly long haul although unfortunately return heathrow boston today,United Kingdom,2015-06-04,unverified
2901,2901,british airways customer review,flew eurotraveller heathrow athens back flights slightly delayed departing crew attentive sectors band 4 flight hot meals provided although edible meat athens heathrow indeterminable cabin fairly clean flights however find boarding card 24 hours previous seat pocket traveled 6 month old baby heathrow board looked criticism really bas fault check agent athens swissport hesitant letting pushchair gate despite insistence come london us hadnt issue,United Kingdom,2015-06-04,unverified
2902,2902,british airways customer review,flew tampa gatwick 12515 return flight 25515 flown ba several occasions mauritius cant believe despite number complaints ba received nothing changed regarding food service admittedly crew good makes wonder choose career ba seriously need review customer care provide dinner overcooked frozen rolls cereal bar breakfast really tasted better food cheaper airline come ba listen customer improve service disappointed ba,United Kingdom,2015-06-01,unverified
2903,2903,british airways customer review,lhryyz world traveller plus upgrade 777 yyzlhr economy 747 got upgrade outbound flight bonus niggles outbound flight sound cancelling headphones sound quality poor even maximum volume reading light worked inadequate probably far away cabin temperature little erratic queues four toilets economy could problem flying prolonged turbulence said niggles enjoyed upgrade flight return delayed apu unserviceable uncommon 747 wait second air starter unit requires twos order advance got rather stuffy whilst waiting pilot kept us informed happening underway good flight rested well cheerful efficient crew directions food good outbound adequate inbound areas improvement overall good would recommend ba,United Kingdom,2015-06-01,unverified
2904,2904,british airways customer review,ba873 krklhr 17 may new sector launched early month first time flying ba pleasantly surprised friend able checkin big carryon free paid checkin luggage understood end biggest gripe sunday flight departs arrives late lhr worsened fact full flight overhead bins already full board hence 20 minute delay tarmac remaining handcarry luggage put hold unfortunately flight manage catch air hence landed 20 minutes late cutting close curfew time lhr run way almost missed last heathrow express train never fly late flight lhr said pilot cabin crew entertaining quite chatty pa passengers though necessarily friendly customers 25 hours a320 passed without inflight entertainment expected regional flights food refreshments good,Singapore,2015-06-01,unverified
